,balls_per_over,city,dates_0,event_name,event_match_number,gender,match_type,officials_match_referees_0,officials_reserve_umpires_0,officials_tv_umpires_0,officials_umpires_0,officials_umpires_1,outcome_winner,outcome_by_runs,overs,player_of_match_0,season,team_type,teams_0,teams_1,toss_decision,toss_winner,venue,game_id,players_team0_player_0,registry_team0_player_0,players_team0_player_1,registry_team0_player_1,players_team0_player_2,registry_team0_player_2,players_team0_player_3,registry_team0_player_3,players_team0_player_4,registry_team0_player_4,players_team0_player_5,registry_team0_player_5,players_team0_player_6,registry_team0_player_6,players_team0_player_7,registry_team0_player_7,players_team0_player_8,registry_team0_player_8,players_team0_player_9,registry_team0_player_9,players_team0_player_10,registry_team0_player_10,players_team1_player_0,registry_team1_player_0,players_team1_player_1,registry_team1_player_1,players_team1_player_2,registry_team1_player_2,players_team1_player_3,registry_team1_player_3,players_team1_player_4,registry_team1_player_4,players_team1_player_5,registry_team1_player_5,players_team1_player_6,registry_team1_player_6,players_team1_player_7,registry_team1_player_7,players_team1_player_8,registry_team1_player_8,players_team1_player_9,registry_team1_player_9,players_team1_player_10,registry_team1_player_10,outcome_by_wickets,supersubs_team_1,extra_players_team_1,supersubs_team_0,extra_players_team_0,event_stage,outcome_method,outcome_result,outcome_eliminator
1269675,6.0,Carrara,2022-01-04,Big Bash League,38.0,male,T20,Kepler Wessels,Steven Farrell,D Taylor,GA Abood,Troy Penman,Perth Scorchers,10.0,20.0,AM Hardie,2021/22,club,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers,Carrara Oval,1269675,KR Patterson,e3bf8356,CT Bancroft,399b0b94,C Munro,af2c687b,LJ Evans,1c513d54,AJ Turner,ff1e12a0,AM Hardie,d405c0d5,AC Agar,a2421394,AJ Tye,7c7d63a2,P Hatzoglou,6f95e5fa,TS Mills,245c97cb,LR Morris,b08e58e2,JR Philippe,39086549,JM Vince,a15618fe,J Edwards,f787e0eb,MC Henriques,32198ae0,JC Silk,7a6dc294,DT Christian,2a2e6343,SA Abbott,1a2676c5,H Kerr,f422728b,BJ Dwarshuis,e1b9f3a9,JM Bird,bc773eeb,SNJ O'Keefe,3540beff,,,,,,,,,
1269670,6.0,Melbourne,2022-01-03,Big Bash League,33.0,male,T20,RW Stratford,Greg Azzopardi,PJ Gillespie,BNJ Oxenford,Geoff Davidson,Melbourne Renegades,10.0,20.0,KW Richardson,2021/22,club,Melbourne Stars,Melbourne Renegades,bat,Melbourne Stars,Melbourne Cricket Ground,1269670,TJ Dean,666936de,J Avendano,0af4a90b,CA Wakim,c5e415aa,GJ Maxwell,b681e71e,HWR Cartwright,ab965cad,P Rowe,34ba03c3,TL O'Connell,859d95bb,Qais Ahmad,8d5d991e,BL Couch,be69e09d,Haris Rauf,24bb1c2f,Ahmed Daniyal,9656afbf,SB Harper,a756e61a,AJ Finch,b8d490fd,SE Marsh,508a1ea7,NJ Maddinson,44afbf2d,MW Harvey,47dc9794,Mohammad Nabi,62af8546,J Seymour,cb54a1d6,JA Prestwidge,5f317fd4,W Sutherland,bc2d4f2e,KW Richardson,dfc4d8b5,RJW Topley,8db7f47f,5.0,J Seymour,Zahir Khan,,,,,,
1269669,6.0,Sydney,2022-01-02,Big Bash League,32.0,male,T20,Kent Hannam,AR Hamilton,Troy Penman,GA Abood,SA Lightbody,Sydney Thunder,28.0,20.0,M Gilkes,2021/22,club,Sydney Thunder,Adelaide Strikers,bat,Sydney Thunder,Sydney Showground Stadium,1269669,M Gilkes,d85b0f8b,BCJ Cutting,2e11c706,JJS Sangha,8e3cb0e9,SW Billings,c16d4035,O Davies,0ea54eca,DR Sams,caf69bf7,CJ Green,19b9f399,AJ Nair,4ba2c04d,GS Sandhu,1558d83b,Mohammad Hasnain,8596fe80,S Mahmood,0f6db197,J Weatherald,edc7ddb6,MW Short,a90e53ec,MT Renshaw,218d4d78,JW Wells,8bdac857,HJ Hunt,62ef4abe,T Kelly,6ceb94d0,HJ Nielsen,0ea1455a,Rashid Khan,5f547c8b,WA Agar,15de1f5d,PM Siddle,bd93fea4,Fawad Ahmed,22ae3041,5.0,J Seymour,Zahir Khan,,,,,,
1269666,6.0,Hobart,2022-01-01,Big Bash League,29.0,male,T20,David Johnston,M Qureshi,BC Treloar,MW Graham-Smith,NR Johnstone,Brisbane Heat,14.0,20.0,XC Bartlett,2021/22,club,Brisbane Heat,Hobart Hurricanes,field,Hobart Hurricanes,"Bellerive Oval, Hobart",1269666,CA Lynn,45eda7c8,JJ Peirson,2b55c3b4,BM Duckett,5f26f677,SD Heazlett,e00a9155,M Bryant,f32012f4,XC Bartlett,3b53243a,JD Wildermuth,f1c61793,JJ Bazley,003d49e6,MT Steketee,903560ed,MP Kuhnemann,7b953689,Mujeeb Ur Rahman,7d92277a,MS Wade,afa7e784,BR McDermott,c41043e6,DJM Short,1a156c88,HC Brook,4ae1755b,PSP Handscomb,ada15e88,TH David,f1f99156,JA Thompson,1d2f290a,NT Ellis,9eb1455b,TS Rogers,1b04e02b,RP Meredith,64775749,S Lamichhane,b410bd3d,5.0,J Seymour,Zahir Khan,JD Wildermuth,L Guthrie,,,,
1269665,6.0,Adelaide,2021-12-31,Big Bash League,28.0,male,T20,SD Fry,D Bhatt,Eloise Sheridan,DR Close,GJ Davidson,Sydney Thunder,22.0,20.0,JJS Sangha,2021/22,club,Sydney Thunder,Adelaide Strikers,bat,Sydney Thunder,Adelaide Oval,1269665,M Gilkes,d85b0f8b,BCJ Cutting,2e11c706,JJS Sangha,8e3cb0e9,SW Billings,c16d4035,O Davies,0ea54eca,DR Sams,caf69bf7,AJ Nair,4ba2c04d,N McAndrew,38c276e1,CJ Green,19b9f399,B Doggett,898e628d,S Mahmood,0f6db197,J Weatherald,edc7ddb6,MW Short,a90e53ec,MT Renshaw,218d4d78,JW Wells,8bdac857,T Kelly,6ceb94d0,GHS Garton,be869ccf,HJ Nielsen,0ea1455a,Rashid Khan,5f547c8b,DJ Worrall,208f22ea,PM Siddle,bd93fea4,Fawad Ahmed,22ae3041,5.0,JD Wildermuth,Zahir Khan,,L Guthrie,,,,
1269663,6.0,Melbourne,2021-12-29,Big Bash League,26.0,male,T20,RL Parry,D Brigham,NR Johnstone,MW Graham-Smith,AK Wilds,Hobart Hurricanes,85.0,20.0,BR McDermott,2021/22,club,Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades,"Docklands Stadium, Melbourne",1269663,MS Wade,afa7e784,BR McDermott,c41043e6,DJM Short,1a156c88,HC Brook,4ae1755b,PSP Handscomb,ada15e88,TH David,f1f99156,JA Thompson,1d2f290a,NT Ellis,9eb1455b,TS Rogers,1b04e02b,RP Meredith,64775749,S Lamichhane,b410bd3d,SB Harper,a756e61a,AJ Finch,b8d490fd,NJ Maddinson,44afbf2d,MW Harvey,47dc9794,J Fraser-McGurk,9b6e1b3f,Mohammad Nabi,62af8546,JA Prestwidge,5f317fd4,JL Pattinson,f752db61,KW Richardson,dfc4d8b5,RJW Topley,8db7f47f,Zahir Khan,786b7fe8,5.0,JD Wildermuth,Zahir Khan,,L Guthrie,,,,
1269661,6.0,Canberra,2021-12-28,Big Bash League,24.0,male,T20,SR Bernard,Andrew Crozier,GJ Davidson,D Taylor,DM Koch,Sydney Thunder,34.0,20.0,SW Billings,2021/22,club,Sydney Thunder,Perth Scorchers,field,Perth Scorchers,"Manuka Oval, Canberra",1269661,M Gilkes,d85b0f8b,AD Hales,92aeac25,JJS Sangha,8e3cb0e9,SW Billings,c16d4035,AI Ross,fb0d68b4,DR Sams,caf69bf7,BCJ Cutting,2e11c706,N McAndrew,38c276e1,CJ Green,19b9f399,S Mahmood,0f6db197,T Sangha,52c952d9,KR Patterson,e3bf8356,JP Inglis,989889ff,MR Marsh,3d8feaf8,C Munro,af2c687b,AJ Turner,ff1e12a0,LJ Evans,1c513d54,AC Agar,a2421394,AJ Tye,7c7d63a2,M Kelly,68e26ec9,JP Behrendorff,4933f499,P Hatzoglou,6f95e5fa,5.0,LR Morris,LR Morris,,L Guthrie,,,,
1269660,6.0,Brisbane,2021-12-27,Big Bash League,23.0,male,T20,Kepler Wessels,Steven Farrell,Troy Penman,GA Abood,AK Wilds,Melbourne Stars,20.0,20.0,JM Clarke,2021/22,club,Melbourne Stars,Brisbane Heat,field,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1269660,MP Stoinis,d9273ee7,JM Clarke,2eca67f5,JA Burns,7a5f232a,GJ Maxwell,b681e71e,HWR Cartwright,ab965cad,AD Russell,bbd41817,BJ Webster,56b93d46,NM Coulter-Nile,56ab442f,Qais Ahmad,8d5d991e,A Zampa,14f96089,BL Couch,be69e09d,M Bryant,f32012f4,CA Lynn,45eda7c8,TLW Cooper,2318ba22,BM Duckett,5f26f677,SD Heazlett,e00a9155,JJ Peirson,2b55c3b4,JJ Bazley,003d49e6,MT Steketee,903560ed,MP Kuhnemann,7b953689,Mujeeb Ur Rahman,7d92277a,L Guthrie,b03303ca,5.0,LR Morris,LR Morris,,L Guthrie,,,,
1269658,6.0,Melbourne,2021-12-26,Big Bash League,21.0,male,T20,Kent Hannam,Greg Azzopardi,DM Koch,NR Johnstone,PJ Gillespie,Perth Scorchers,20.0,20.0,MR Marsh,2021/22,club,Melbourne Renegades,Perth Scorchers,bat,Melbourne Renegades,"Docklands Stadium, Melbourne",1269658,AJ Finch,b8d490fd,MW Harvey,47dc9794,SB Harper,a756e61a,NJ Maddinson,44afbf2d,J Fraser-McGurk,9b6e1b3f,Mohammad Nabi,62af8546,W Sutherland,bc2d4f2e,JA Prestwidge,5f317fd4,JL Pattinson,f752db61,RJW Topley,8db7f47f,Zahir Khan,786b7fe8,CT Bancroft,399b0b94,JP Inglis,989889ff,MR Marsh,3d8feaf8,C Munro,af2c687b,AJ Turner,ff1e12a0,LJ Evans,1c513d54,AC Agar,a2421394,AJ Tye,7c7d63a2,JP Behrendorff,4933f499,P Hatzoglou,6f95e5fa,TS Mills,245c97cb,8.0,LR Morris,LR Morris,,L Guthrie,,,,
1269656,6.0,Hobart,2021-12-24,Big Bash League,19.0,male,T20,SJ Davis,TJ Matibiri,GA Abood,DR Close,MW Graham-Smith,Hobart Hurricanes,24.0,20.0,NT Ellis,2021/22,club,Hobart Hurricanes,Melbourne Stars,bat,Hobart Hurricanes,"Bellerive Oval, Hobart",1269656,BR McDermott,c41043e6,MS Wade,afa7e784,DJM Short,1a156c88,PSP Handscomb,ada15e88,TH David,f1f99156,HC Brook,4ae1755b,JA Thompson,1d2f290a,NT Ellis,9eb1455b,TS Rogers,1b04e02b,RP Meredith,64775749,S Lamichhane,b410bd3d,MP Stoinis,d9273ee7,JM Clarke,2eca67f5,GJ Maxwell,b681e71e,JA Burns,7a5f232a,AD Russell,bbd41817,HWR Cartwright,ab965cad,BJ Webster,56b93d46,NM Coulter-Nile,56ab442f,CD Hinchliffe,8891669e,Qais Ahmad,8d5d991e,BL Couch,be69e09d,8.0,LR Morris,LR Morris,,L Guthrie,,,,
